Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	phi	pi0	theta_1	swap_cold	topo_hash	kPrime_42	kPrime_43	kPrime_44	kPrime_45	kPrime_46	kPrime_47	kPrime_48	kPrime_49	kPrime_50	kPrime_51	kPrime_52	kPrime_53	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	kPrime_188	kPrime_189	kPrime_190	kPrime_191	kPrime_192	kPrime_193	kPrime_194	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
# Topology: spr:9.5% nni:0.9% gibbs_spr:0.9% gibbs_subtree_swap:0.9% tbr:0.9% pspr:0.9%
# Branches: branch_lengths:3.5% dirichlet_branch:3.5% tree_length:2.4% local_dirichlet:0.9%
# Characters: gibbs_kPrime:30.6% kPrime:5.2% p:1.6% block_kPrime:0.9%
# Rates: rate_neo:5.7% neo_joint:3.8% joint_tl_rls:3.3% joint_tl_rl:3.1% rate_log_sd:2.4% rate_loss:2.3% slice_rate_loss:1.6% slice_rate_neo:1.6% slice_rate_log_sd:1.6%
# Ecology: scale_theta:4.8% scale_pi0:2.5% scale_phi:2.2% gibbs_z:2.0%
54200	-1042.75703208489	-983.673160089758	0.68988056027194	0.514801692243685	2.48471507958675	0.993094182633583	0.271198023470509	0.0421792126529272	0.760745597144163	0.140674919316383	4	1015626317364786	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00697956360340031	0.0296812511293968	0.0303564058963249	0.10123783912723	0.0235239582108242	0.0419479167768354	0.0223376091978052	0.0728495574436588	0.0429235165002279	0.0175248850766984	0.00236399818410268	0.0121294075666833	0.00489307382993087	0.0133129473361343	0.0165439950104852	0.0301725903328029	0.168330859091423	0.0567057060242485	0.0300563504082658	0.0504975594511214	0.0268697131241112	0.038311300005548	0.0274950547688488	0.00793028365650773	0.0337970755136755	0.00871514789675251	0.0175218865701571	0.019158300280874	0.0150059745830169	0.0308262734029094
54400	-1065.44077736782	-986.914871630683	0.958737199129788	0.96190257999146	1.88780325396589	0.990407763869523	0.835225392981968	0.026642646718558	0.718965186513406	0.179422831855473	0	5377091664303305	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00697956360340031	0.0296812511293968	0.0303564058963249	0.10123783912723	0.0199355584623068	0.0419479167768354	0.0223376091978052	0.0728495574436588	0.0429235165002279	0.0175248850766984	0.00595239793262013	0.0121294075666833	0.00489307382993087	0.0133129473361343	0.0165439950104852	0.0301725903328029	0.145733344798358	0.0567057060242485	0.0300563504082658	0.0504975594511214	0.0268697131241112	0.038311300005548	0.0500925690619132	0.00793028365650773	0.0337970755136755	0.00871514789675251	0.0175218865701571	0.019158300280874	0.0150059745830169	0.0308262734029094
54600	-1056.31796263286	-978.945328285497	1.14703997227602	1.8727803903517	1.28401463881301	0.976862611657082	0.616120946371851	0.026642646718558	0.716234208451062	0.167712877126695	2	2927616668783632	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00697956360340031	0.0296812511293968	0.0303564058963249	0.10123783912723	0.0199355584623068	0.0419479167768354	0.0223376091978052	0.0728495574436588	0.0429235165002279	0.0175248850766984	0.00595239793262013	0.0121294075666833	0.00489307382993087	0.0133129473361343	0.0165439950104852	0.0359136665695838	0.145733344798358	0.0567057060242485	0.0300563504082658	0.0504975594511214	0.0211286368873302	0.038311300005548	0.0500925690619132	0.00793028365650773	0.0337970755136755	0.00871514789675251	0.0175218865701571	0.019158300280874	0.0150059745830169	0.0308262734029094
54800	-1058.11430411515	-980.177374691962	2.26608904845742	0.75721967351419	0.269891600120108	0.983861155420978	0.387415324653592	0.0479943680819815	0.716234208451062	0.268555872365812	0	1015626317364786	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	0.0134035990329138	0.0214701287997265	0.0188849205603069	0.093578017762153	0.0109233789429967	0.0419479167768354	0.0223376091978052	0.101080609572421	0.0429235165002279	0.0175248850766984	0.00595239793262013	0.0121294075666833	0.0169977564768703	0.0133129473361343	0.0165439950104852	0.0359136665695838	0.145733344798358	0.0567057060242484	0.0300563504082658	0.048651952776164	0.0228281578791296	0.038311300005548	0.0379878864149737	0.00793028365650773	0.0337970755136755	0.00871514789675251	0.0193674932451145	0.019158300280874	0.0150059745830169	0.0308262734029094
55000	-1072.58709688098	-985.876515787342	1.75309908586958	0.933799885195903	0.374938133684683	0.981836807760159	0.401941951097706	0.0479943680819815	0.758673711940036	0.292990520660758	4	1015626317364786	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0134035990329138	0.0214701287997265	0.0188849205603069	0.0448533759758417	0.00628351465808463	0.0419479167768354	0.0223376091978052	0.101080609572421	0.0429235165002279	0.0175248850766984	0.00595239793262013	0.0121294075666833	0.0169977564768703	0.0133129473361343	0.0165439950104852	0.0359136665695838	0.145733344798358	0.0567057060242484	0.0300563504082658	0.0394155841050654	0.0228281578791296	0.0870359417918592	0.0379878864149737	0.0171666523276063	0.0337970755136755	0.00871514789675251	0.0240073575300266	0.019158300280874	0.0150059745830169	0.0308262734029094
